dedo1,dedo2,dedo3,dedo4,dedo5,posicion_mano,movimiento,letra
0,17,30,0,999,25.73,False,i
32,999,999,999,36,-20.61,False,w
985,999,999,63,28,-64.65,False,h
18,0,22,63,999,14.54,True,j
78,999,979,76,29,-36.1,True,r
127,983,999,999,969,-16.31,True,ñ
990,999,48,0,0,53.15,False,g
199,384,0,4,2,-67.27,True,t
978,999,999,122,49,73.57,False,k
70,118,101,76,90,-60.35,True,s
593,598,618,615,622,13.01,False,c
999,988,999,41,0,6.31,True,h
415,405,409,406,402,17.24,False,o
120,982,999,999,999,89.92,True,ñ
11,0,0,0,999,-42.03,False,i
370,413,425,414,411,-69.79,False,o
995,981,999,102,25,3.83,False,k
39,999,0,0,0,71.19,False,d
133,335,329,348,29,30.49,True,m
23,997,982,22,0,-71.26,True,r
0,29,75,49,69,9.29,True,e
629,602,621,630,590,-55.64,True,c
990,996,89,2,0,49.64,False,l
999,983,103,11,24,30.67,False,l
28,999,970,970,996,-80.73,False,b
0,996,970,999,999,-36.79,False,b
999,11,0,6,999,82.22,False,y
999,999,56,0,24,-64.24,False,g
972,990,21,0,0,67.82,False,g
591,618,621,611,575,-35.41,False,c
27,999,999,223,105,-19.26,False,v
55,999,987,995,72,17.84,True,w
67,990,972,973,56,-3.98,False,w
999,0,0,25,999,-89.21,False,y
0,624,3,11,29,37.28,False,x
999,4,13,9,0,69.7,True,a
980,999,115,1,0,-0.2,False,l
127,369,340,20,24,31.07,False,n
602,574,629,630,617,-39.46,False,c
999,978,24,0,0,88.19,False,g
615,622,575,604,629,-87.22,False,c
32,986,970,48,0,40.68,False,r
6,0,17,20,999,87.79,True,j
0,47,67,48,32,73.97,False,e
0,999,989,222,118,-50.67,False,v
999,992,999,75,0,53.51,False,h
79,999,999,39,0,15.88,False,r
19,577,0,18,9,-36.97,False,x
80,79,119,72,82,36.05,False,s
173,415,21,0,0,-53.12,False,t
999,999,97,0,0,73.71,False,l
0,999,999,182,130,-89.01,False,v
213,378,0,0,3,57.47,False,t
70,971,999,999,51,37.62,True,w
999,999,991,118,28,77.0,False,k
153,380,357,65,0,30.17,True,n
79,126,100,89,93,-5.03,False,s
603,601,623,617,594,28.84,False,c
999,997,121,48,7,-19.37,False,q
211,429,0,0,0,-60.11,True,t
985,980,990,86,29,-4.76,True,k
22,976,999,88,0,54.42,False,u
0,27,67,64,20,68.46,False,e
999,84,993,999,999,-57.19,False,f
999,0,0,23,999,-88.21,False,y
999,117,999,985,994,66.29,False,f
8,0,25,68,972,52.33,False,j
19,991,999,998,999,-43.57,False,b
74,970,18,0,1,79.24,False,d
999,121,999,999,999,51.06,False,f
25,972,986,999,28,87.12,False,w
976,981,77,76,0,38.94,False,q
210,420,16,0,27,20.48,False,t
127,999,998,999,993,-44.49,False,ñ
2,969,999,995,999,57.24,False,b
22,974,996,996,999,-56.42,False,b
216,408,0,0,0,-49.11,False,t
0,0,0,42,999,34.61,False,j
999,997,980,105,78,-66.58,False,k
124,320,359,331,75,-18.6,False,m
999,999,999,32,0,-21.81,False,h
405,379,402,424,419,-62.46,False,o
999,999,600,0,0,19.13,True,p
617,608,598,611,624,-14.44,False,c
620,594,627,630,591,16.35,False,c
987,973,101,63,0,-10.21,False,q
61,999,984,27,0,43.51,False,r
976,979,91,20,0,-63.73,False,l
63,975,111,76,0,62.49,True,z
0,999,971,185,99,-64.42,False,v
0,0,0,49,999,62.02,False,j
23,999,999,23,0,50.47,True,r
0,590,0,22,0,26.61,False,x
11,999,999,210,78,57.0,False,v
125,377,341,345,22,-82.66,False,m
989,999,124,72,0,-67.1,False,q
214,424,22,0,0,24.24,False,t
988,974,591,0,0,45.95,False,p
0,999,999,110,28,41.44,True,u
973,997,999,23,0,48.94,False,h
999,28,16,0,999,-68.36,True,y
2,992,999,979,999,-60.91,False,b
79,999,116,50,10,34.2,True,z
164,371,335,69,11,41.92,False,n
0,9,3,0,999,29.71,False,i
970,983,119,22,18,-44.03,False,q
43,980,19,4,29,-66.87,False,d
974,0,1,1,999,-28.48,True,y
597,603,571,601,592,30.96,False,c
970,982,72,9,9,22.36,False,g
15,999,971,111,0,54.88,False,u
27,981,111,27,0,39.3,True,z
995,999,999,70,5,7.69,False,h
30,999,972,994,46,-52.4,False,w
426,430,411,377,393,-26.38,False,o
970,999,590,0,0,-46.97,False,p
595,606,595,622,592,-12.9,False,c
970,0,0,16,29,-68.03,False,a
982,4,13,10,999,64.61,False,y
68,999,0,30,10,62.49,False,d
0,0,0,52,984,-13.17,True,j
62,995,999,999,69,-33.62,True,w
65,981,100,49,0,-60.17,False,z
95,999,988,999,991,1.07,False,ñ
419,372,423,413,430,-7.77,True,o
196,374,0,0,2,-84.71,False,t
26,999,0,9,11,-18.6,False,d
999,983,94,0,0,17.7,False,l
999,999,974,27,0,-6.84,False,h
997,5,0,1,0,-37.84,False,a
74,979,999,999,989,3.01,True,ñ
380,376,400,413,379,53.96,False,o
1,25,15,12,984,-18.51,False,i
