dedo1,dedo2,dedo3,dedo4,dedo5,posicion_mano,movimiento,letra
751,79,153,66,128,0.85,False,a
733,81,144,67,124,0.84,False,a
779,77,144,67,121,0.85,False,a
776,80,153,66,123,0.84,False,a
777,77,144,66,127,0.84,False,a
740,80,153,68,130,0.85,False,a
757,76,141,68,136,0.85,False,a
709,79,146,69,124,0.84,False,a
714,81,153,70,138,0.85,False,a
726,77,153,70,136,0.85,False,a
754,77,148,72,136,0.85,False,a
763,79,150,73,144,0.85,False,a
767,80,146,73,127,0.84,False,a
757,82,155,71,127,0.86,False,a
705,80,148,70,130,0.85,False,a
766,83,157,70,138,0.85,False,a
771,82,157,70,131,0.85,False,a
761,77,153,68,130,0.86,False,a
736,77,171,67,130,0.85,False,a
733,80,162,66,125,0.86,False,a
769,79,148,65,124,0.85,False,a
750,84,155,65,127,0.85,False,a
772,80,162,67,138,0.85,False,a
775,81,144,70,128,0.85,False,a
760,83,155,69,127,0.86,False,a
730,81,153,69,141,0.85,False,a
731,82,153,75,131,0.84,False,a
763,79,155,69,131,0.86,False,a
780,80,148,68,127,0.85,False,a
757,79,144,68,141,0.87,False,a
0,825,999,999,826,0.74,False,b
0,831,999,999,840,0.72,False,b
0,823,999,999,798,0.74,False,b
0,838,999,999,808,0.75,False,b
0,832,999,999,816,0.74,False,b
0,843,999,999,830,0.73,False,b
0,856,999,999,832,0.74,False,b
0,818,999,999,845,0.74,False,b
0,837,999,999,837,0.72,False,b
0,813,999,999,837,0.74,False,b
0,832,999,999,843,0.74,False,b
0,853,999,999,836,0.74,False,b
0,850,999,999,845,0.74,False,b
0,854,999,999,824,0.74,False,b
0,874,999,999,836,0.73,False,b
0,915,999,999,845,0.74,False,b
0,891,999,999,824,0.74,False,b
0,917,999,999,839,0.73,False,b
0,883,999,999,808,0.74,False,b
0,867,999,999,821,0.75,False,b
0,867,999,999,813,0.75,False,b
0,840,999,999,833,0.75,False,b
0,829,999,999,826,0.72,False,b
0,835,999,999,842,0.76,False,b
0,842,999,999,826,0.75,False,b
0,802,999,999,814,0.73,False,b
0,810,999,999,819,0.73,False,b
0,808,999,999,830,0.74,False,b
0,832,999,999,810,0.75,False,b
0,828,999,999,795,0.76,False,b
999,244,854,297,724,1.00,False,c
999,248,852,297,740,1.03,False,c
999,248,859,280,698,1.02,False,c
999,247,822,290,720,1.01,False,c
999,245,840,288,707,1.01,False,c
999,245,833,278,717,1.02,False,c
999,246,831,275,680,1.00,False,c
999,246,826,285,701,1.02,False,c
999,250,824,282,694,1.01,False,c
999,247,826,283,706,1.03,False,c
999,246,840,290,711,1.02,False,c
999,242,822,288,726,1.02,False,c
999,242,824,292,720,1.02,False,c
999,243,852,289,717,1.03,False,c
999,240,826,286,713,1.01,False,c
985,244,836,284,713,1.03,False,c
992,246,840,297,710,1.04,False,c
999,245,829,290,722,1.03,False,c
999,247,831,294,719,1.03,False,c
999,247,831,296,710,1.02,False,c
999,248,831,291,709,1.02,False,c
999,246,826,290,722,1.03,False,c
999,248,822,286,726,1.03,False,c
999,250,836,280,711,1.02,False,c
999,247,854,274,723,1.02,False,c
999,246,824,270,720,1.02,False,c
999,245,826,276,723,1.04,False,c
999,249,826,284,717,1.00,False,c
989,246,826,280,720,1.04,False,c
